,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
nominal,1.0,0.99,0.98,0.96,0.94,0.92
parton shower,0.09,0.08,0.1,0.1,0.1,0.13
pdf weight,0.04,0.04,0.05,0.05,0.06,0.04
splitting kernel,0.03,0.02,0.02,0.02,0.01,0.02
scale variation,0.01,0.01,0.01,0.01,0.01,0.03
MC nonclosure,0.01,0.02,0.03,0.05,0.06,0.09
hadronization,0.01,0.01,0.01,0.01,0.01,0.01
tracking,0.01,0.01,0.01,0.01,0.01,0.01
matrix element,0.01,0.01,0.02,0.02,0.04,0.07
gluon reweight,0.01,0.01,0.01,0.01,0.01,0.01
JES/JER,0.01,0.01,0.01,0.01,0.01,0.01
Statistical,0.01,0.01,0.01,0.01,0.01,0.02
Total Uncertainty,0.11,0.1,0.11,0.13,0.14,0.18
