,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
nominal,1.02,1.03,1.04,1.03,1.02,1.01
pdf weight,0.09,0.1,0.11,0.12,0.12,0.1
scale variation,0.07,0.08,0.1,0.1,0.11,0.08
hadronization,0.06,0.05,0.05,0.05,0.03,0.04
tracking,0.05,0.05,0.05,0.04,0.04,0.04
matrix element,0.05,0.05,0.05,0.05,0.04,0.03
splitting kernel,0.01,0.01,0.01,0.01,0.02,0.01
gluon reweight,0.01,0.01,0.01,0.01,0.01,0.01
MC nonclosure,0.01,0.02,0.02,0.02,0.01,0.01
JES/JER,0.01,0.01,0.01,0.01,0.01,0.01
Statistical,0.01,0.01,0.01,0.01,0.01,0.01
parton shower,0.01,0.01,0.03,0.03,0.05,0.06
Total Uncertainty,0.15,0.16,0.18,0.18,0.18,0.15
