,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
nominal,0.99,0.98,0.97,0.95,0.92,0.91
parton shower,0.15,0.17,0.17,0.17,0.17,0.21
pdf weight,0.05,0.06,0.06,0.07,0.07,0.06
splitting kernel,0.03,0.01,0.01,0.01,0.01,0.02
scale variation,0.02,0.03,0.02,0.02,0.02,0.03
tracking,0.02,0.02,0.02,0.02,0.02,0.01
hadronization,0.01,0.01,0.01,0.01,0.01,0.01
MC nonclosure,0.01,0.02,0.02,0.04,0.07,0.08
matrix element,0.01,0.01,0.02,0.03,0.05,0.08
JES/JER,0.01,0.01,0.01,0.01,0.01,0.01
Statistical,0.01,0.01,0.01,0.01,0.01,0.03
gluon reweight,0.01,0.01,0.01,0.01,0.01,0.01
Total Uncertainty,0.17,0.18,0.18,0.2,0.2,0.25
