,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
nominal,1.03,1.03,1.03,1.02,1.01,1.0
tracking,0.06,0.05,0.05,0.04,0.03,0.02
pdf weight,0.06,0.07,0.09,0.09,0.08,0.06
scale variation,0.03,0.04,0.05,0.04,0.04,0.05
MC nonclosure,0.03,0.04,0.04,0.03,0.02,0.01
hadronization,0.03,0.02,0.02,0.02,0.02,0.02
matrix element,0.03,0.04,0.03,0.03,0.03,0.02
parton shower,0.01,0.01,0.02,0.01,0.02,0.03
splitting kernel,0.01,0.01,0.01,0.02,0.02,0.01
JES/JER,0.01,0.01,0.01,0.01,0.01,0.01
gluon reweight,0.01,0.01,0.01,0.01,0.01,0.01
Statistical,0.01,0.01,0.01,0.01,0.01,0.01
Total Uncertainty,0.11,0.11,0.13,0.12,0.11,0.1
